season,team,conference,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_success_rate,off_explosiveness,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_success_rate,def_explosiveness
2020,Iowa,Big Ten,0.16,0.18,0.15,,,0.03,0.09,-0.02,,
2020,Iowa State,Big 12,0.26,0.35,0.18,,,0.1,0.21,-0.02,,
2020,Kansas,Big 12,-0.04,-0.06,-0.01,,,0.27,0.28,0.26,,
2020,Kansas State,Big 12,0.13,0.22,0.06,,,0.22,0.28,0.16,,
2020,Kent State,Mid-American,0.46,0.63,0.34,,,0.27,0.15,0.35,,
2020,Kentucky,SEC,0.11,0.03,0.16,,,0.15,0.2,0.1,,
2020,Liberty,FBS Independents,0.31,0.37,0.28,,,0.15,0.19,0.12,,
2020,Louisiana,Sun Belt,0.24,0.28,0.23,,,0.11,0.02,0.18,,
2020,Louisiana Tech,Conference USA,0.08,0.07,0.09,,,0.22,0.25,0.2,,
2020,Louisville,ACC,0.26,0.3,0.23,,,0.14,0.22,0.08,,
2020,LSU,SEC,0.17,0.27,0.03,,,0.26,0.34,0.19,,
2020,Marshall,Conference USA,0.19,0.17,0.2,,,0.04,0.14,-0.06,,
2020,Maryland,Big Ten,0.16,0.2,0.12,,,0.22,0.19,0.23,,
2020,Massachusetts,FBS Independents,-0.11,-0.04,-0.17,,,0.34,0.31,0.36,,
